Timestamp,Apakah Anda menggunakan media sosial?,Jenis kelamin Anda?,Apakah Anda sering mengikuti tren yang sedang populer di media sosial?,Media sosial apa yang paling sering Anda gunakan?,Seberapa sering Anda merasa tertarik untuk bergabung dengan tren tertentu di media sosial? ,Apakah Anda pernah merasa khawatir tentang privasi Anda saat mengikuti tren di media sosial? ,,Apakah informasi pribadi yang ada di sosial media anda adalah informasi yang sebenarnya?,Apakah informasi data diri dan kegiatan Anda yang ada di sosial media Anda terbuka untuk umum?,Apakah Anda memanfaatkan setting privasi di media sosial?,"Apakah anda hanya menambahkan orang lain sebagai teman di media sosial, hanya jika anda mengenal mereka?",Apakah Anda mengganti password akun media sosial Anda secara berkala? ,Apakah Anda sering (seminggu >3x) mengakses media sosial di fasilitas publik?,Apakah Anda merasa percaya informasi pribadi Anda terlindungi di media sosial?,Apakah anda memahami dan mengerti tentang pentingnya keamanan informasi pada media sosial?,Apakah anda berpikir terlebih dahulu sebelum anda melakukan posting foto atau pesan di media sosial (untuk menghindari postingan anda disalahgunakan)?
21/05/2024 17:57:55,Ya,Perempuan,Ya,"Tiktok, Instagram, X",2,Ya,,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya
21/05/2024 18:14:54,Ya,Laki-laki,Ya,"Instagram, Youtube",1,Tidak,,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
21/05/2024 18:27:14,Ya,Laki-laki,Ya,"Instagram, Youtube",3,Tidak,,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
21/05/2024 18:27:37,Ya,Laki-laki,Ya,"Tiktok, Instagram, X",4,Tidak,,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya
21/05/2024 18:49:15,Ya,Laki-laki,Ya,"Tiktok, Instagram, X",2,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
21/05/2024 19:25:47,Ya,Laki-laki,Tidak,"Tiktok, Instagram, Youtube",1,Tidak,,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
21/05/2024 21:07:34,Ya,Perempuan,Ya,"Tiktok, Instagram, X",4,Tidak,,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak
22/05/2024 8:28:51,Ya,Perempuan,Ya,"Tiktok, Instagram, X",2,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
22/05/2024 10:37:29,Ya,Perempuan,Tidak,"Instagram, X, Youtube",2,Tidak,,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya
22/05/2024 10:39:13,Ya,Laki-laki,Ya,"Tiktok, Instagram, X",3,Ya,,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya
22/05/2024 10:42:14,Ya,Perempuan,Ya,"Tiktok, Instagram, X, Youtube",5,Tidak,,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
22/05/2024 10:47:55,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X, Youtube",2,Ya,,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
22/05/2024 10:51:18,Ya,Perempuan,Tidak,"Tiktok, Instagram",3,Ya,,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya
22/05/2024 11:12:34,Ya,Perempuan,Tidak,"Instagram, Youtube, Whatsapp",2,Ya,,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya
22/05/2024 11:49:29,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X, Youtube",3,Ya,,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya
22/05/2024 13:07:01,Ya,Laki-laki,Ya,"Tiktok, Instagram, X, Youtube",4,Tidak,,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya
22/05/2024 14:06:55,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X",2,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
22/05/2024 21:29:54,Ya,Laki-laki,Ya,"Tiktok, Instagram, X, Youtube",4,Tidak,,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
22/05/2024 22:46:55,Ya,Laki-laki,Ya,"Tiktok, Instagram, X, Youtube",5,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
23/05/2024 22:15:55,Ya,Perempuan,Ya,"Tiktok, Instagram, X",4,Ya,,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
23/05/2024 22:19:43,Ya,Laki-laki,Ya,Instagram,3,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
23/05/2024 22:44:32,Ya,Perempuan,Ya,"Tiktok, Instagram, X",5,Tidak,,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
23/05/2024 23:12:02,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X, Youtube",2,Ya,,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
23/05/2024 23:42:07,Ya,Perempuan,Ya,"Instagram, Youtube",2,Tidak,,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya
23/05/2024 23:50:22,Ya,Laki-laki,Tidak,"Tiktok, Instagram, Youtube",3,Tidak,,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya
24/05/2024 3:45:45,Ya,Perempuan,Ya,"Tiktok, Instagram, X",4,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
24/05/2024 14:19:18,Ya,Laki-laki,Tidak,"Instagram, Youtube",3,Ya,,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya
24/05/2024 17:27:27,Ya,Perempuan,Ya,"Tiktok, Instagram, Youtube",5,Tidak,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
24/05/2024 18:44:44,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X, Youtube",1,Ya,,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
24/05/2024 22:18:39,Ya,Perempuan,Ya,"Tiktok, Instagram, X",2,Ya,,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
25/05/2024 6:44:53,Ya,Laki-laki,Tidak,"Tiktok, Instagram, Youtube",2,Ya,,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
25/05/2024 8:34:17,Ya,Laki-laki,Ya,"Instagram, Youtube",3,Ya,,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
25/05/2024 9:03:50,Ya,Perempuan,Ya,"Tiktok, Instagram, X",4,Tidak,,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya
25/05/2024 9:05:27,Ya,Laki-laki,Ya,"Tiktok, Instagram, Youtube",4,Tidak,,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
25/05/2024 9:22:22,Ya,Laki-laki,Tidak,"Instagram, Youtube",1,Tidak,,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
25/05/2024 17:58:34,Ya,Laki-laki,Tidak,"Instagram, X",2,Tidak,,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya
25/05/2024 18:13:05,Ya,Laki-laki,Tidak,"Instagram, X, Youtube",4,Tidak,,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
25/05/2024 18:23:17,Ya,Perempuan,Ya,"Tiktok, Instagram, X, Youtube",3,Ya,,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya
25/05/2024 18:39:00,Ya,Perempuan,Ya,"Tiktok, X",3,Tidak,,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
25/05/2024 18:56:44,Ya,Laki-laki,Ya,"Tiktok, Instagram, X, Youtube",5,Ya,,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
25/05/2024 19:06:17,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X",2,Ya,,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
25/05/2024 19:15:43,Ya,Laki-laki,Ya,"Instagram, X",2,Tidak,,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya
26/05/2024 9:20:07,Ya,Perempuan,Tidak,"Instagram, Youtube",3,Tidak,,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya
26/05/2024 11:44:54,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X, Youtube",1,Ya,,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya
26/05/2024 12:00:19,Ya,Laki-laki,Ya,"Tiktok, Instagram, X",2,Ya,,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak
26/05/2024 12:02:37,Ya,Laki-laki,Ya,"Tiktok, Instagram, X, Youtube",3,Ya,,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya
26/05/2024 12:03:32,Ya,Laki-laki,Ya,"Tiktok, Instagram, X, Youtube",2,Ya,,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
26/05/2024 12:05:57,Ya,Perempuan,Tidak,Tiktok,3,Ya,,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya
26/05/2024 12:11:30,Ya,Perempuan,Tidak,"Instagram, Youtube",3,Tidak,,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya
26/05/2024 12:17:24,Ya,Laki-laki,Tidak,"Tiktok, Instagram, X, Youtube",2,Tidak,,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya